time;position;tas;heading_angle;climb_angle;
3085.714286s;43°3'8.046788"N 4°52'13.838762"W 30000.00ft;700.0km/h;38.21°;0.00°;
3137.142857s;43°7'21.900861"N 4°47'39.723992"W 30000.00ft;700.0km/h;38.26°;0.00°;
3188.571429s;43°11'35.572023"N 4°43'4.975545"W 30000.00ft;700.0km/h;38.31°;0.00°;
3240.000000s;43°15'49.059384"N 4°38'29.590822"W 30000.00ft;700.0km/h;38.36°;0.00°;
3291.428571s;43°20'2.362050"N 4°33'53.567219"W 30000.00ft;700.0km/h;38.42°;0.00°;
3342.857143s;43°24'15.479120"N 4°29'16.902120"W 30000.00ft;700.0km/h;38.47°;0.00°;
3394.285714s;43°28'28.409691"N 4°24'39.592898"W 30000.00ft;700.0km/h;38.52°;0.00°;
3445.714286s;43°32'41.152852"N 4°20'1.636918"W 30000.00ft;700.0km/h;38.58°;0.00°;
3497.142857s;43°36'53.707689"N 4°15'23.031534"W 30000.00ft;700.0km/h;38.63°;0.00°;
3548.571429s;43°41'6.073280"N 4°10'43.774090"W 30000.00ft;700.0km/h;38.68°;0.00°;
3600.000000s;43°45'18.248700"N 4°6'3.861921"W 30000.00ft;700.0km/h;38.74°;0.00°;
3651.428571s;43°49'30.233019"N 4°1'23.292351"W 30000.00ft;700.0km/h;38.79°;0.00°;
3702.857143s;43°53'42.025300"N 3°56'42.062693"W 30000.00ft;700.0km/h;38.85°;0.00°;
3754.285714s;43°57'53.624600"N 3°52'0.170251"W 30000.00ft;700.0km/h;38.90°;0.00°;
3805.714286s;44°2'5.029974"N 3°47'17.612319"W 30000.00ft;700.0km/h;38.95°;0.00°;
3857.142857s;44°6'16.240467"N 3°42'34.386179"W 30000.00ft;700.0km/h;39.01°;0.00°;
3908.571429s;44°10'27.255122"N 3°37'50.489105"W 30000.00ft;700.0km/h;39.06°;0.00°;
3960.000000s;44°14'38.072974"N 3°33'5.918359"W 30000.00ft;700.0km/h;39.12°;0.00°;
4011.428571s;44°18'48.693054"N 3°28'20.671192"W 30000.00ft;700.0km/h;39.18°;0.00°;
4062.857143s;44°22'59.114385"N 3°23'34.744846"W 30000.00ft;700.0km/h;39.23°;0.00°;
4114.285714s;44°27'9.335986"N 3°18'48.136551"W 30000.00ft;700.0km/h;39.29°;0.00°;
