time;position;tas;heading_angle;climb_angle;
3137.14s;43°7'17.256486"N 4°47'44.742524"W 34945.59ft;698.4km/h;38.26°;0.01°;
3188.57s;43°11'30.416390"N 4°43'10.563398"W 34949.47ft;698.7km/h;38.31°;0.01°;
3240.00s;43°15'43.546110"N 4°38'35.584490"W 34953.08ft;699.2km/h;38.36°;0.01°;
3291.43s;43°19'56.667468"N 4°33'59.776927"W 34956.43ft;699.7km/h;38.42°;0.01°;
3342.86s;43°24'9.789080"N 4°29'23.125943"W 34959.55ft;700.2km/h;38.47°;0.01°;
3394.29s;43°28'22.905437"N 4°24'45.632101"W 34962.44ft;700.7km/h;38.52°;0.01°;
3445.71s;43°32'35.997212"N 4°20'7.311190"W 34965.12ft;701.1km/h;38.57°;0.00°;
3497.14s;43°36'49.032793"N 4°15'28.192773"W 34967.61ft;701.5km/h;38.63°;0.00°;
3548.57s;43°41'1.970858"N 4°10'48.317546"W 34969.92ft;701.7km/h;38.68°;0.00°;
3600.00s;43°45'14.763723"N 4°6'7.733798"W 34972.07ft;701.9km/h;38.74°;0.00°;
3651.43s;43°49'27.361077"N 4°1'26.493361"W 34974.07ft;701.9km/h;38.79°;0.00°;
3702.86s;43°53'39.713744"N 3°56'44.647469"W 34975.92ft;701.7km/h;38.84°;0.00°;
3754.29s;43°57'51.777135"N 3°52'2.242870"W 34977.64ft;701.5km/h;38.90°;0.00°;
3805.71s;44°2'3.514173"N 3°47'19.318474"W 34979.24ft;701.1km/h;38.95°;0.00°;
3857.14s;44°6'14.897517"N 3°42'35.902713"W 34980.72ft;700.6km/h;39.01°;0.00°;
3908.57s;44°10'25.911063"N 3°37'52.011677"W 34982.10ft;700.2km/h;39.06°;0.00°;
3960.00s;44°14'36.550697"N 3°33'7.648062"W 34983.38ft;699.7km/h;39.12°;0.00°;
4011.43s;44°18'46.824352"N 3°28'22.800898"W 34984.56ft;699.2km/h;39.18°;0.00°;
4062.86s;44°22'56.751382"N 3°23'37.446037"W 34985.67ft;698.8km/h;39.23°;0.00°;
4114.29s;44°27'6.361314"N 3°18'51.547385"W 34986.69ft;698.4km/h;39.29°;0.00°;
4165.71s;44°31'15.691977"N 3°14'5.058852"W 34987.64ft;698.2km/h;39.34°;0.00°;
4217.14s;44°35'24.787081"N 3°9'17.926999"W 34988.52ft;698.1km/h;39.40°;0.00°;
4268.57s;44°39'33.693284"N 3°4'30.094299"W 34989.34ft;698.2km/h;39.46°;0.00°;
4320.00s;44°43'42.456908"N 2°59'41.502897"W 34990.10ft;698.3km/h;39.51°;0.00°;
4371.43s;44°47'51.120471"N 2°54'52.098639"W 34990.81ft;698.6km/h;39.57°;0.00°;
4422.86s;44°51'59.719307"N 2°50'1.835081"W 34991.47ft;699.0km/h;39.63°;0.00°;
4474.29s;44°56'8.278583"N 2°45'10.677110"W 34992.08ft;699.5km/h;39.68°;0.00°;
4525.71s;45°0'16.811035"N 2°40'18.603794"W 34992.64ft;700.0km/h;39.74°;0.00°;
4577.14s;45°4'25.315694"N 2°35'25.610113"W 34993.17ft;700.5km/h;39.80°;0.00°;
4628.57s;45°8'33.777785"N 2°30'31.707340"W 34993.66ft;701.0km/h;39.86°;0.00°;
4680.00s;45°12'42.169852"N 2°25'36.921975"W 34994.11ft;701.4km/h;39.92°;0.00°;
4731.43s;45°16'50.453978"N 2°20'41.293351"W 34994.53ft;701.7km/h;39.97°;0.00°;
4782.86s;45°20'58.584855"N 2°15'44.870175"W 34994.92ft;701.8km/h;40.03°;0.00°;
4834.29s;45°25'6.513376"N 2°10'47.706379"W 34995.28ft;701.9km/h;40.09°;0.00°;
4885.71s;45°29'14.190354"N 2°5'49.856727"W 34995.62ft;701.8km/h;40.15°;0.00°;
4937.14s;45°33'21.570042"N 2°0'51.372579"W 34995.93ft;701.6km/h;40.21°;0.00°;
4988.57s;45°37'28.613193"N 1°55'52.298132"W 34996.22ft;701.2km/h;40.27°;0.00°;
5040.00s;45°41'35.289475"N 1°50'52.667350"W 34996.49ft;700.8km/h;40.33°;0.00°;
5091.43s;45°45'41.579181"N 1°45'52.501720"W 34996.74ft;700.3km/h;40.39°;0.00°;
5142.86s;45°49'47.474199"N 1°40'51.808839"W 34996.98ft;699.8km/h;40.45°;0.00°;
5194.29s;45°53'52.978287"N 1°35'50.581852"W 34997.19ft;699.3km/h;40.51°;0.00°;
5245.71s;45°57'58.106669"N 1°30'48.799693"W 34997.39ft;698.9km/h;40.57°;0.00°;
5297.14s;46°2'2.885009"N 1°25'46.428124"W 34997.58ft;698.5km/h;40.63°;0.00°;
5348.57s;46°6'7.347769"N 1°20'43.421540"W 34997.75ft;698.3km/h;40.69°;0.00°;
5400.00s;46°10'11.536000"N 1°15'39.725525"W 34997.91ft;698.1km/h;40.76°;0.00°;
5451.43s;46°14'15.494627"N 1°10'35.280098"W 34998.06ft;698.1km/h;40.82°;0.00°;
5502.86s;46°18'19.269322"N 1°5'30.023531"W 34998.20ft;698.3km/h;40.88°;0.00°;
5554.29s;46°22'22.903139"N 1°0'23.896551"W 34998.33ft;698.5km/h;40.94°;0.00°;
5605.71s;46°26'26.433144"N 0°55'16.846636"W 34998.45ft;698.9km/h;41.00°;0.00°;
5657.14s;46°30'29.887333"N 0°50'8.832031"W 34998.56ft;699.3km/h;41.07°;0.00°;
5708.57s;46°34'33.282150"N 0°44'59.825087"W 34998.66ft;699.8km/h;41.13°;0.00°;
5760.00s;46°38'36.620896"N 0°39'49.814534"W 34998.76ft;700.3km/h;41.19°;0.00°;
5811.43s;46°42'39.893248"N 0°34'38.806385"W 34998.85ft;700.8km/h;41.26°;0.00°;
5862.86s;46°46'43.075968"N 0°29'26.823320"W 34998.93ft;701.3km/h;41.32°;0.00°;
5914.29s;46°50'46.134749"N 0°24'13.902607"W 34999.01ft;701.6km/h;41.38°;0.00°;
5965.71s;46°54'49.026987"N 0°19'0.092775"W 34999.08ft;701.8km/h;41.45°;0.00°;
6017.14s;46°58'51.705165"N 0°13'45.449413"W 34999.14ft;701.9km/h;41.51°;0.00°;
6068.57s;47°2'54.120498"N 0°8'30.030559"W 34999.20ft;701.8km/h;41.58°;0.00°;
6120.00s;47°6'56.226472"N 0°3'13.892102"W 34999.26ft;701.6km/h;41.64°;0.00°;
6171.43s;47°10'57.982011"N 0°2'2.916396"E 34999.31ft;701.3km/h;41.71°;0.00°;
6222.86s;47°14'59.354052"N 0°7'20.355229"E 34999.36ft;700.9km/h;41.77°;0.00°;
6274.29s;47°19'0.319450"N 0°12'38.397227"E 34999.41ft;700.5km/h;41.84°;0.00°;
6325.71s;47°23'0.866154"N 0°17'57.029562"E 34999.45ft;700.0km/h;41.91°;0.00°;
6377.14s;47°27'0.993690"N 0°23'16.254649"E 34999.49ft;699.5km/h;41.97°;0.00°;
6428.57s;47°31'0.712974"N 0°28'36.090185"E 34999.53ft;699.0km/h;42.04°;0.00°;
6480.00s;47°35'0.045493"N 0°33'56.568339"E 34999.56ft;698.7km/h;42.11°;0.00°;
6531.43s;47°38'59.021887"N 0°39'17.734117"E 34999.59ft;698.4km/h;42.17°;0.00°;
6582.86s;47°42'57.679963"N 0°44'39.642933"E 34999.62ft;698.2km/h;42.24°;0.00°;
6634.29s;47°46'56.062177"N 0°50'2.357406"E 34999.65ft;698.1km/h;42.31°;0.00°;
6685.71s;47°50'54.212695"N 0°55'25.943518"E 34999.67ft;698.2km/h;42.38°;0.00°;
6737.14s;47°54'52.174145"N 1°0'50.466272"E 34999.70ft;698.4km/h;42.45°;0.00°;
6788.57s;47°58'49.984288"N 1°6'15.985153"E 34999.72ft;698.7km/h;42.52°;0.00°;
6840.00s;48°2'47.672867"N 1°11'42.549741"E 34999.74ft;699.2km/h;42.59°;0.00°;
6891.43s;48°6'45.258939"N 1°17'10.195912"E 34999.76ft;699.7km/h;42.66°;0.00°;
