time;position_error
11799.41s;0.2997nm;
11850.84s;0.2946nm;
11902.27s;0.2868nm;
11953.69s;0.2771nm;
12005.12s;0.2665nm;
12056.55s;0.2560nm;
12107.98s;0.2468nm;
12159.41s;0.2397nm;
12210.84s;0.2355nm;
12262.27s;0.2348nm;
12313.69s;0.2378nm;
12365.12s;0.2446nm;
12416.55s;0.2550nm;
12467.98s;0.2685nm;
12519.41s;0.2846nm;
12570.84s;0.3022nm;
12622.27s;0.3205nm;
12673.69s;0.3384nm;
12725.12s;0.3550nm;
12776.55s;0.3691nm;
12827.98s;0.3802nm;
12879.41s;0.3877nm;
12930.84s;0.3912nm;
12982.27s;0.3908nm;
13033.69s;0.3868nm;
13085.12s;0.3798nm;
13136.55s;0.3706nm;
13187.98s;0.3601nm;
13239.41s;0.3495nm;
13290.84s;0.3398nm;
13342.27s;0.3319nm;
13393.69s;0.3267nm;
13445.12s;0.3248nm;
13496.55s;0.3265nm;
13547.98s;0.3321nm;
13599.41s;0.3413nm;
13650.84s;0.3539nm;
13702.27s;0.3692nm;
13753.69s;0.3864nm;
13805.12s;0.4046nm;
13856.55s;0.4227nm;
13907.98s;0.4399nm;
13959.41s;0.4549nm;
14010.84s;0.4671nm;
14062.27s;0.4758nm;
14113.69s;0.4807nm;
14165.12s;0.4816nm;
14216.55s;0.4787nm;
14267.98s;0.4726nm;
14319.41s;0.4640nm;
14370.84s;0.4539nm;
14422.27s;0.4433nm;
14473.69s;0.4331nm;
14525.12s;0.4245nm;
14576.55s;0.4183nm;
14627.98s;0.4152nm;
14679.41s;0.4157nm;
14730.84s;0.4200nm;
14782.27s;0.4281nm;
14833.69s;0.4396nm;
14885.12s;0.4540nm;
14936.55s;0.4707nm;
14987.98s;0.4887nm;
15039.41s;0.5070nm;
15090.84s;0.5246nm;
15142.27s;0.5404nm;
15193.69s;0.5537nm;
15245.12s;0.5636nm;
15296.55s;0.5697nm;
15347.98s;0.5719nm;
15399.41s;0.5703nm;
15450.84s;0.5652nm;
15502.27s;0.5574nm;
15553.69s;0.5476nm;
15605.12s;0.5370nm;
15656.55s;0.5266nm;
15707.98s;0.5174nm;
15759.41s;0.5103nm;
15810.84s;0.5061nm;
15862.27s;0.5054nm;
15913.69s;0.5084nm;
15965.12s;0.5152nm;
16016.55s;0.5256nm;
16067.98s;0.5392nm;
16119.41s;0.5552nm;
16170.84s;0.5729nm;
16222.27s;0.5912nm;
16273.69s;0.6091nm;
16325.12s;0.6256nm;
16376.55s;0.6398nm;
16427.98s;0.6509nm;
16479.41s;0.6584nm;
16530.84s;0.6619nm;
16582.27s;0.6615nm;
16633.69s;0.6575nm;
16685.12s;0.6505nm;
16736.55s;0.6413nm;
16787.98s;0.6309nm;
16839.41s;0.6203nm;
16890.84s;0.6105nm;
16942.27s;0.6026nm;
16993.69s;0.5974nm;
17045.12s;0.5955nm;
17096.55s;0.5972nm;
17147.98s;0.6028nm;
17199.41s;0.6120nm;
17250.84s;0.6246nm;
17302.27s;0.6399nm;
17353.69s;0.6571nm;
17405.12s;0.6753nm;
17456.55s;0.6935nm;
17507.98s;0.7106nm;
17559.41s;0.7257nm;
17610.84s;0.7379nm;
17662.27s;0.7466nm;
