time;position;tas;heading_angle;climb_angle;
3137.14s;43°7'34.521844"N 4°47'26.082713"W 34945.59ft;695.4km/h;38.26°;0.01°;
3188.57s;43°11'46.007440"N 4°42'53.661583"W 34949.47ft;694.2km/h;38.31°;0.01°;
3240.00s;43°15'57.017106"N 4°38'20.935920"W 34953.08ft;693.3km/h;38.37°;0.01°;
3291.43s;43°20'7.724201"N 4°33'47.716114"W 34956.43ft;693.0km/h;38.42°;0.01°;
3342.86s;43°24'18.310320"N 4°29'13.801259"W 34959.55ft;693.2km/h;38.47°;0.01°;
3394.29s;43°28'28.952141"N 4°24'38.993416"W 34962.44ft;693.8km/h;38.52°;0.01°;
3445.71s;43°32'39.808630"N 4°20'3.111735"W 34965.12ft;694.9km/h;38.58°;0.00°;
3497.14s;43°36'51.009550"N 4°15'26.005396"W 34967.61ft;696.4km/h;38.63°;0.00°;
3548.57s;43°41'2.646087"N 4°10'47.564443"W 34969.92ft;698.1km/h;38.68°;0.00°;
3600.00s;43°45'14.764267"N 4°6'7.727720"W 34972.07ft;700.0km/h;38.74°;0.00°;
3651.43s;43°49'27.361642"N 4°1'26.487319"W 34974.07ft;701.9km/h;38.79°;0.00°;
3702.86s;43°53'40.387472"N 3°56'43.889206"W 34975.92ft;703.6km/h;38.84°;0.00°;
3754.29s;43°57'53.746383"N 3°52'0.029965"W 34977.64ft;705.1km/h;38.90°;0.00°;
3805.71s;44°2'7.305245"N 3°47'15.049871"W 34979.24ft;706.2km/h;38.95°;0.00°;
3857.14s;44°6'20.902754"N 3°42'29.122778"W 34980.72ft;706.8km/h;39.01°;0.00°;
3908.57s;44°10'34.361031"N 3°37'42.443536"W 34982.10ft;707.0km/h;39.07°;0.00°;
3960.00s;44°14'47.498393"N 3°32'55.213816"W 34983.38ft;706.7km/h;39.12°;0.00°;
4011.43s;44°19'0.142387"N 3°28'7.627389"W 34984.56ft;705.8km/h;39.18°;0.00°;
4062.86s;44°23'12.142121"N 3°23'19.855885"W 34985.67ft;704.6km/h;39.23°;0.00°;
4114.29s;44°27'23.379036"N 3°18'32.036088"W 34986.69ft;703.0km/h;39.29°;0.00°;
4165.71s;44°31'33.775323"N 3°13'44.259686"W 34987.64ft;701.2km/h;39.35°;0.00°;
4217.14s;44°35'43.299389"N 3°8'56.566221"W 34988.52ft;699.4km/h;39.40°;0.00°;
4268.57s;44°39'51.967989"N 3°4'8.939783"W 34989.34ft;697.5km/h;39.46°;0.00°;
4320.00s;44°43'59.844867"N 2°59'21.309689"W 34990.10ft;695.9km/h;39.52°;0.00°;
4371.43s;44°48'7.036018"N 2°54'33.555129"W 34990.81ft;694.5km/h;39.57°;0.00°;
4422.86s;44°52'13.681910"N 2°49'45.513451"W 34991.47ft;693.6km/h;39.63°;0.00°;
4474.29s;44°56'19.947237"N 2°44'56.991511"W 34992.08ft;693.1km/h;39.69°;0.00°;
4525.71s;45°0'26.008940"N 2°40'7.779278"W 34992.64ft;693.1km/h;39.74°;0.00°;
4577.14s;45°4'32.043367"N 2°35'17.664717"W 34993.17ft;693.6km/h;39.80°;0.00°;
4628.57s;45°8'38.213492"N 2°30'26.448885"W 34993.66ft;694.5km/h;39.86°;0.00°;
4680.00s;45°12'44.657119"N 2°25'33.960153"W 34994.11ft;695.9km/h;39.92°;0.00°;
4731.43s;45°16'51.476918"N 2°20'40.066516"W 34994.53ft;697.5km/h;39.97°;0.00°;
4782.86s;45°20'58.733007"N 2°15'44.685103"W 34994.92ft;699.4km/h;40.03°;0.00°;
4834.29s;45°25'6.438619"N 2°10'47.788190"W 34995.28ft;701.2km/h;40.09°;0.00°;
4885.71s;45°29'14.559144"N 2°5'49.405250"W 34995.62ft;703.0km/h;40.15°;0.00°;
4937.14s;45°33'23.014634"N 2°0'49.620902"W 34995.93ft;704.6km/h;40.21°;0.00°;
4988.57s;45°37'31.685559"N 1°55'48.568857"W 34996.22ft;705.8km/h;40.27°;0.00°;
5040.00s;45°41'40.421416"N 1°50'46.422295"W 34996.49ft;706.7km/h;40.33°;0.00°;
