time;position;tas;heading_angle;climb_angle;
3137.14s;43°7'17.263563"N 4°47'44.735004"W 34945.59ft;695.4km/h;38.26°;0.01°;
3188.57s;43°11'30.430188"N 4°43'10.548550"W 34949.47ft;694.2km/h;38.31°;0.01°;
3240.00s;43°15'43.566160"N 4°38'35.562771"W 34953.08ft;693.3km/h;38.36°;0.01°;
3291.43s;43°19'56.691520"N 4°33'59.750742"W 34956.43ft;693.0km/h;38.42°;0.01°;
3342.86s;43°24'9.813738"N 4°29'23.098972"W 34959.55ft;693.2km/h;38.47°;0.01°;
3394.29s;43°28'22.927124"N 4°24'45.608259"W 34962.44ft;693.8km/h;38.52°;0.01°;
3445.71s;43°32'36.013197"N 4°20'7.293504"W 34965.12ft;694.9km/h;38.58°;0.00°;
3497.14s;43°36'49.041967"N 4°15'28.182512"W 34967.61ft;696.4km/h;38.63°;0.00°;
3548.57s;43°41'1.974046"N 4°10'48.313853"W 34969.92ft;698.1km/h;38.68°;0.00°;
3600.00s;43°45'14.763439"N 4°6'7.733936"W 34972.07ft;700.0km/h;38.74°;0.00°;
3651.43s;43°49'27.360794"N 4°1'26.493501"W 34974.07ft;701.9km/h;38.79°;0.00°;
3702.86s;43°53'39.716902"N 3°56'44.643782"W 34975.92ft;703.6km/h;38.84°;0.00°;
3754.29s;43°57'51.786170"N 3°52'2.232616"W 34977.64ft;705.1km/h;38.90°;0.00°;
3805.71s;44°2'3.529839"N 3°47'19.300774"W 34979.24ft;706.2km/h;38.95°;0.00°;
3857.14s;44°6'14.918691"N 3°42'35.878793"W 34980.72ft;706.8km/h;39.01°;0.00°;
3908.57s;44°10'25.935075"N 3°37'51.984520"W 34982.10ft;707.0km/h;39.06°;0.00°;
3960.00s;44°14'36.574093"N 3°33'7.621567"W 34983.38ft;706.7km/h;39.12°;0.00°;
4011.43s;44°18'46.843859"N 3°28'22.778789"W 34984.56ft;705.8km/h;39.17°;0.00°;
4062.86s;44°22'56.764828"N 3°23'37.430816"W 34985.67ft;704.6km/h;39.23°;0.00°;
4114.29s;44°27'6.368233"N 3°18'51.539620"W 34986.69ft;703.0km/h;39.29°;0.00°;
4165.71s;44°31'15.693743"N 3°14'5.057002"W 34987.64ft;701.2km/h;39.34°;0.00°;
4217.14s;44°35'24.786526"N 3°9'17.927823"W 34988.52ft;699.4km/h;39.40°;0.00°;
4268.57s;44°39'33.693910"N 3°4'30.093752"W 34989.34ft;697.5km/h;39.46°;0.00°;
4320.00s;44°43'42.461899"N 2°59'41.497264"W 34990.10ft;695.9km/h;39.51°;0.00°;
4371.43s;44°47'51.131787"N 2°54'52.085592"W 34990.81ft;694.5km/h;39.57°;0.00°;
4422.86s;44°51'59.737121"N 2°50'1.814357"W 34991.47ft;693.6km/h;39.63°;0.00°;
4474.29s;44°56'8.301220"N 2°45'10.650613"W 34992.08ft;693.1km/h;39.68°;0.00°;
4525.71s;45°0'16.835438"N 2°40'18.575071"W 34992.64ft;693.1km/h;39.74°;0.00°;
4577.14s;45°4'25.338296"N 2°35'25.583355"W 34993.17ft;693.6km/h;39.80°;0.00°;
4628.57s;45°8'33.795526"N 2°30'31.686181"W 34993.66ft;694.5km/h;39.86°;0.00°;
4680.00s;45°12'42.181056"N 2°25'36.908452"W 34994.11ft;695.9km/h;39.92°;0.00°;
4731.43s;45°16'50.458824"N 2°20'41.287314"W 34994.53ft;697.5km/h;39.97°;0.00°;
4782.86s;45°20'58.585321"N 2°15'44.869330"W 34994.92ft;699.4km/h;40.03°;0.00°;
4834.29s;45°25'6.512660"N 2°10'47.706946"W 34995.28ft;701.2km/h;40.09°;0.00°;
4885.71s;45°29'14.191958"N 2°5'49.854526"W 34995.62ft;703.0km/h;40.15°;0.00°;
