time;position;tas;heading_angle;climb_angle;
3137.14s;43°7'18.933386"N 4°47'42.930939"W 34945.59ft;700.0km/h;38.26°;0.01°;
3188.57s;43°11'32.546778"N 4°43'8.254866"W 34949.47ft;700.0km/h;38.31°;0.01°;
3240.00s;43°15'45.976419"N 4°38'32.942900"W 34953.08ft;700.0km/h;38.36°;0.01°;
3291.43s;43°19'59.221420"N 4°33'56.992436"W 34956.43ft;700.0km/h;38.42°;0.01°;
3342.86s;43°24'12.280885"N 4°29'20.400856"W 34959.55ft;700.0km/h;38.47°;0.01°;
3394.29s;43°28'25.153912"N 4°24'43.165532"W 34962.44ft;700.0km/h;38.52°;0.01°;
3445.71s;43°32'37.839596"N 4°20'5.283830"W 34965.12ft;700.0km/h;38.58°;0.00°;
3497.14s;43°36'50.337024"N 4°15'26.753102"W 34967.61ft;700.0km/h;38.63°;0.00°;
3548.57s;43°41'2.645279"N 4°10'47.570692"W 34969.92ft;700.0km/h;38.68°;0.00°;
3600.00s;43°45'14.763439"N 4°6'7.733936"W 34972.07ft;700.0km/h;38.74°;0.00°;
3651.43s;43°49'26.690575"N 4°1'27.240156"W 34974.07ft;700.0km/h;38.79°;0.00°;
3702.86s;43°53'38.425754"N 3°56'46.086667"W 34975.92ft;700.0km/h;38.84°;0.00°;
3754.29s;43°57'49.968036"N 3°52'4.270772"W 34977.64ft;700.0km/h;38.90°;0.00°;
3805.71s;44°2'1.316476"N 3°47'21.789767"W 34979.24ft;700.0km/h;38.95°;0.00°;
3857.14s;44°6'12.470124"N 3°42'38.640934"W 34980.72ft;700.0km/h;39.01°;0.00°;
3908.57s;44°10'23.428023"N 3°37'54.821547"W 34982.10ft;700.0km/h;39.06°;0.00°;
3960.00s;44°14'34.189212"N 3°33'10.328869"W 34983.38ft;700.0km/h;39.12°;0.00°;
4011.43s;44°18'44.752723"N 3°28'25.160153"W 34984.56ft;700.0km/h;39.17°;0.00°;
4062.86s;44°22'55.117581"N 3°23'39.312641"W 34985.67ft;700.0km/h;39.23°;0.00°;
4114.29s;44°27'5.282806"N 3°18'52.783566"W 34986.69ft;700.0km/h;39.29°;0.00°;
4165.71s;44°31'15.247414"N 3°14'5.570147"W 34987.64ft;700.0km/h;39.34°;0.00°;
4217.14s;44°35'25.010412"N 3°9'17.669597"W 34988.52ft;700.0km/h;39.40°;0.00°;
4268.57s;44°39'34.570803"N 3°4'29.079114"W 34989.34ft;700.0km/h;39.46°;0.00°;
4320.00s;44°43'43.927581"N 2°59'39.795889"W 34990.10ft;700.0km/h;39.51°;0.00°;
4371.43s;44°47'53.079737"N 2°54'49.817098"W 34990.81ft;700.0km/h;39.57°;0.00°;
4422.86s;44°52'2.026253"N 2°49'59.139910"W 34991.47ft;700.0km/h;39.63°;0.00°;
4474.29s;44°56'10.766107"N 2°45'7.761480"W 34992.08ft;700.0km/h;39.68°;0.00°;
4525.71s;45°0'19.298267"N 2°40'15.678954"W 34992.64ft;700.0km/h;39.74°;0.00°;
4577.14s;45°4'27.621699"N 2°35'22.889465"W 34993.17ft;700.0km/h;39.80°;0.00°;
4628.57s;45°8'35.735357"N 2°30'29.390136"W 34993.66ft;700.0km/h;39.86°;0.00°;
4680.00s;45°12'43.638193"N 2°25'35.178077"W 34994.11ft;700.0km/h;39.92°;0.00°;
4731.43s;45°16'51.329148"N 2°20'40.250387"W 34994.53ft;700.0km/h;39.97°;0.00°;
4782.86s;45°20'58.807158"N 2°15'44.604154"W 34994.92ft;700.0km/h;40.03°;0.00°;
4834.29s;45°25'6.071153"N 2°10'48.236453"W 34995.28ft;700.0km/h;40.09°;0.00°;
4885.71s;45°29'13.120053"N 2°5'51.144348"W 34995.62ft;700.0km/h;40.15°;0.00°;
4937.14s;45°33'19.952771"N 2°0'53.324890"W 34995.93ft;700.0km/h;40.21°;0.00°;
4988.57s;45°37'26.568214"N 1°55'54.775116"W 34996.22ft;700.0km/h;40.27°;0.00°;
5040.00s;45°41'32.965280"N 1°50'55.492055"W 34996.49ft;700.0km/h;40.33°;0.00°;
5091.43s;45°45'39.142858"N 1°45'55.472718"W 34996.74ft;700.0km/h;40.39°;0.00°;
5142.86s;45°49'45.099831"N 1°40'54.714105"W 34996.98ft;700.0km/h;40.45°;0.00°;
5194.29s;45°53'50.835073"N 1°35'53.213204"W 34997.19ft;700.0km/h;40.51°;0.00°;
5245.71s;45°57'56.347447"N 1°30'50.966988"W 34997.39ft;700.0km/h;40.57°;0.00°;
5297.14s;46°2'1.635811"N 1°25'47.972415"W 34997.58ft;700.0km/h;40.63°;0.00°;
5348.57s;46°6'6.699012"N 1°20'44.226431"W 34997.75ft;700.0km/h;40.69°;0.00°;
5400.00s;46°10'11.535886"N 1°15'39.725966"W 34997.91ft;700.0km/h;40.76°;0.00°;
5451.43s;46°14'16.145262"N 1°10'34.467935"W 34998.06ft;700.0km/h;40.82°;0.00°;
5502.86s;46°18'20.525958"N 1°5'28.449239"W 34998.20ft;700.0km/h;40.88°;0.00°;
5554.29s;46°22'24.676781"N 1°0'21.666760"W 34998.33ft;700.0km/h;40.94°;0.00°;
5605.71s;46°26'28.596528"N 0°55'14.117367"W 34998.45ft;700.0km/h;41.00°;0.00°;
5657.14s;46°30'32.283985"N 0°50'5.797909"W 34998.56ft;700.0km/h;41.07°;0.00°;
5708.57s;46°34'35.737925"N 0°44'56.705219"W 34998.66ft;700.0km/h;41.13°;0.00°;
5760.00s;46°38'38.957110"N 0°39'46.836110"W 34998.76ft;700.0km/h;41.19°;0.00°;
5811.43s;46°42'41.940289"N 0°34'36.187378"W 34998.85ft;700.0km/h;41.26°;0.00°;
5862.86s;46°46'44.686197"N 0°29'24.755796"W 34998.93ft;700.0km/h;41.32°;0.00°;
5914.29s;46°50'47.193556"N 0°24'12.538116"W 34999.01ft;700.0km/h;41.38°;0.00°;
5965.71s;46°54'49.461070"N 0°18'59.531069"W 34999.08ft;700.0km/h;41.45°;0.00°;
6017.14s;46°58'51.487430"N 0°13'45.731361"W 34999.14ft;700.0km/h;41.51°;0.00°;
6068.57s;47°2'53.271310"N 0°8'31.135670"W 34999.20ft;700.0km/h;41.58°;0.00°;
6120.00s;47°6'54.811362"N 0°3'15.740650"W 34999.26ft;700.0km/h;41.64°;0.00°;
6171.43s;47°10'56.106222"N 0°2'0.457076"E 34999.31ft;700.0km/h;41.71°;0.00°;
6222.86s;47°14'57.154504"N 0°7'17.460917"E 34999.36ft;700.0km/h;41.77°;0.00°;
6274.29s;47°18'57.954797"N 0°12'35.274319"E 34999.41ft;700.0km/h;41.84°;0.00°;
6325.71s;47°22'58.505666"N 0°17'53.900763"E 34999.45ft;700.0km/h;41.91°;0.00°;
6377.14s;47°26'58.805648"N 0°23'13.343774"E 34999.49ft;700.0km/h;41.97°;0.00°;
6428.57s;47°30'58.853247"N 0°28'33.606925"E 34999.53ft;700.0km/h;42.04°;0.00°;
6480.00s;47°34'58.646935"N 0°33'54.693840"E 34999.56ft;700.0km/h;42.11°;0.00°;
6531.43s;47°38'58.185142"N 0°39'16.608203"E 34999.59ft;700.0km/h;42.17°;0.00°;
6582.86s;47°42'57.466257"N 0°44'39.353765"E 34999.62ft;700.0km/h;42.24°;0.00°;
6634.29s;47°46'56.488615"N 0°50'2.934358"E 34999.65ft;700.0km/h;42.31°;0.00°;
6685.71s;47°50'55.250492"N 0°55'27.353900"E 34999.67ft;700.0km/h;42.38°;0.00°;
6737.14s;47°54'53.750096"N 1°0'52.616420"E 34999.70ft;700.0km/h;42.45°;0.00°;
6788.57s;47°58'51.985553"N 1°6'18.726071"E 34999.72ft;700.0km/h;42.52°;0.00°;
6840.00s;48°2'49.954888"N 1°11'45.687161"E 34999.74ft;700.0km/h;42.59°;0.00°;
6891.43s;48°6'47.656006"N 1°17'13.504186"E 34999.76ft;700.0km/h;42.66°;0.00°;
6942.86s;48°10'45.086660"N 1°22'42.181878"E 34999.77ft;700.0km/h;42.73°;0.00°;
6994.29s;48°14'42.244411"N 1°28'11.725270"E 34999.79ft;700.0km/h;42.80°;0.00°;
7045.71s;48°18'39.126569"N 1°33'42.139788"E 34999.81ft;700.0km/h;42.87°;0.00°;
7097.14s;48°22'35.730104"N 1°39'13.431391"E 34999.82ft;700.0km/h;42.94°;0.00°;
7148.57s;48°26'32.051520"N 1°44'45.606778"E 34999.83ft;700.0km/h;43.02°;0.00°;
7200.00s;48°30'28.086632"N 1°50'18.673727"E 34999.84ft;700.0km/h;43.09°;0.00°;
7251.43s;48°34'23.830203"N 1°55'52.641688"E 34999.86ft;700.0km/h;43.17°;0.00°;
7302.86s;48°38'19.275238"N 2°1'27.522899"E 34999.87ft;700.0km/h;43.24°;0.00°;
7354.29s;48°42'14.411473"N 2°7'3.334785"E 34999.88ft;700.0km/h;43.32°;0.00°;
7405.71s;48°46'9.221419"N 2°12'40.106264"E 34999.88ft;700.0km/h;43.41°;0.00°;
7457.14s;48°50'3.665617"N 2°18'17.901213"E 34999.89ft;700.0km/h;43.50°;0.00°;
7479.41s;48°51'44.919063"N 2°20'44.673733"E 34999.90ft;700.0km/h;43.65°;0.00°;
Switched destination to waypoint 3
7530.84s;48°54'32.843642"N 2°27'44.355324"E 33928.47ft;700.0km/h;58.68°;-1.87°;
7582.27s;48°57'20.365067"N 2°34'44.872944"E 32933.58ft;700.0km/h;58.77°;-1.74°;
7633.69s;49°0'7.479384"N 2°41'46.221843"E 32009.76ft;700.0km/h;58.86°;-1.61°;
7685.12s;49°2'54.182934"N 2°48'48.397910"E 31151.92ft;700.0km/h;58.94°;-1.50°;
7736.55s;49°5'40.472314"N 2°55'51.397594"E 30355.35ft;700.0km/h;59.03°;-1.39°;
7787.98s;49°8'26.344346"N 3°2'55.217829"E 29615.68ft;700.0km/h;59.12°;-1.29°;
7839.41s;49°11'11.796046"N 3°9'59.855970"E 28928.85ft;700.0km/h;59.21°;-1.20°;
7890.84s;49°13'56.824599"N 3°17'5.309743"E 28291.07ft;700.0km/h;59.30°;-1.11°;
7942.27s;49°16'41.427340"N 3°24'11.577193"E 27698.85ft;700.0km/h;59.39°;-1.03°;
7993.69s;49°19'25.601733"N 3°31'18.656643"E 27148.94ft;700.0km/h;59.48°;-0.96°;
8045.12s;49°22'9.345355"N 3°38'26.546661"E 26638.30ft;700.0km/h;59.57°;-0.89°;
8096.55s;49°24'52.655881"N 3°45'35.246024"E 26164.13ft;700.0km/h;59.66°;-0.83°;
8147.98s;49°27'35.531074"N 3°52'44.753695"E 25723.84ft;700.0km/h;59.75°;-0.77°;
8199.41s;49°30'17.968772"N 3°59'55.068795"E 25314.99ft;700.0km/h;59.84°;-0.71°;
8250.84s;49°32'59.966878"N 4°7'6.190585"E 24935.35ft;700.0km/h;59.93°;-0.66°;
8302.27s;49°35'41.523356"N 4°14'18.118444"E 24582.83ft;700.0km/h;60.02°;-0.62°;
8353.69s;49°38'22.636218"N 4°21'30.851856"E 24255.48ft;700.0km/h;60.12°;-0.57°;
8405.12s;49°41'3.303522"N 4°28'44.390396"E 23951.52ft;700.0km/h;60.21°;-0.53°;
