time;position_error
11799.41s;0.0468nm;
11850.84s;0.0380nm;
11902.27s;0.0264nm;
11953.69s;0.0130nm;
12005.12s;0.0014nm;
12056.55s;0.0158nm;
12107.98s;0.0289nm;
12159.41s;0.0400nm;
12210.84s;0.0482nm;
12262.27s;0.0529nm;
12313.69s;0.0539nm;
12365.12s;0.0509nm;
12416.55s;0.0442nm;
12467.98s;0.0344nm;
12519.41s;0.0221nm;
12570.84s;0.0082nm;
12622.27s;0.0063nm;
12673.69s;0.0203nm;
12725.12s;0.0329nm;
12776.55s;0.0431nm;
12827.98s;0.0502nm;
12879.41s;0.0537nm;
12930.84s;0.0533nm;
12982.27s;0.0491nm;
13033.69s;0.0413nm;
13085.12s;0.0306nm;
13136.55s;0.0176nm;
13187.98s;0.0034nm;
13239.41s;0.0111nm;
13290.84s;0.0247nm;
13342.27s;0.0366nm;
13393.69s;0.0458nm;
13445.12s;0.0518nm;
13496.55s;0.0540nm;
13547.98s;0.0523nm;
13599.41s;0.0468nm;
13650.84s;0.0380nm;
13702.27s;0.0264nm;
13753.69s;0.0130nm;
13805.12s;0.0014nm;
13856.55s;0.0158nm;
13907.98s;0.0289nm;
13959.41s;0.0400nm;
14010.84s;0.0482nm;
14062.27s;0.0529nm;
14113.69s;0.0539nm;
14165.12s;0.0509nm;
14216.55s;0.0442nm;
14267.98s;0.0344nm;
14319.41s;0.0221nm;
14370.84s;0.0082nm;
14422.27s;0.0063nm;
14473.69s;0.0203nm;
14525.12s;0.0329nm;
14576.55s;0.0431nm;
14627.98s;0.0502nm;
14679.41s;0.0537nm;
14730.84s;0.0533nm;
14782.27s;0.0491nm;
14833.69s;0.0413nm;
14885.12s;0.0306nm;
14936.55s;0.0176nm;
14987.98s;0.0034nm;
15039.41s;0.0111nm;
15090.84s;0.0247nm;
15142.27s;0.0366nm;
15193.69s;0.0458nm;
15245.12s;0.0518nm;
15296.55s;0.0540nm;
15347.98s;0.0523nm;
15399.41s;0.0468nm;
15450.84s;0.0380nm;
15502.27s;0.0264nm;
15553.69s;0.0130nm;
15605.12s;0.0014nm;
15656.55s;0.0158nm;
15707.98s;0.0289nm;
15759.41s;0.0400nm;
15810.84s;0.0482nm;
15862.27s;0.0529nm;
15913.69s;0.0539nm;
15965.12s;0.0509nm;
16016.55s;0.0442nm;
16067.98s;0.0344nm;
16119.41s;0.0221nm;
16170.84s;0.0082nm;
16222.27s;0.0063nm;
16273.69s;0.0203nm;
16325.12s;0.0329nm;
16376.55s;0.0431nm;
16427.98s;0.0502nm;
16479.41s;0.0537nm;
16530.84s;0.0533nm;
16582.27s;0.0491nm;
16633.69s;0.0413nm;
16685.12s;0.0306nm;
16736.55s;0.0176nm;
16787.98s;0.0034nm;
16839.41s;0.0111nm;
16890.84s;0.0247nm;
16942.27s;0.0366nm;
16993.69s;0.0458nm;
17045.12s;0.0518nm;
17096.55s;0.0540nm;
17147.98s;0.0523nm;
