time;position_error
51244.12s;0.0517nm;
51295.54s;0.0540nm;
51346.97s;0.0524nm;
51398.40s;0.0470nm;
51449.83s;0.0382nm;
51501.26s;0.0267nm;
51552.69s;0.0132nm;
51604.12s;0.0012nm;
51655.54s;0.0155nm;
51706.97s;0.0287nm;
51758.40s;0.0398nm;
51809.83s;0.0481nm;
51861.26s;0.0529nm;
51912.69s;0.0539nm;
51964.12s;0.0510nm;
52015.54s;0.0444nm;
52066.97s;0.0346nm;
52118.40s;0.0224nm;
52169.83s;0.0085nm;
52221.26s;0.0060nm;
52272.69s;0.0201nm;
52324.12s;0.0327nm;
52375.54s;0.0429nm;
52426.97s;0.0501nm;
52478.40s;0.0536nm;
52529.83s;0.0533nm;
52581.26s;0.0492nm;
52632.69s;0.0415nm;
52684.12s;0.0308nm;
52735.54s;0.0179nm;
52786.97s;0.0037nm;
52838.40s;0.0108nm;
52889.83s;0.0245nm;
52941.26s;0.0364nm;
52992.69s;0.0457nm;
53044.12s;0.0517nm;
53095.54s;0.0540nm;
53146.97s;0.0524nm;
53198.40s;0.0470nm;
53249.83s;0.0382nm;
53301.26s;0.0267nm;
53352.69s;0.0132nm;
53404.12s;0.0012nm;
53455.54s;0.0155nm;
53506.97s;0.0287nm;
53558.40s;0.0398nm;
53609.83s;0.0481nm;
53620.50s;0.0102nm;
53710.50s;0.0539nm;
53800.50s;0.0467nm;
53890.50s;0.0293nm;
53980.50s;0.0055nm;
54070.50s;0.0195nm;
54160.50s;0.0402nm;
54250.50s;0.0522nm;
54340.50s;0.0528nm;
54430.50s;0.0419nm;
54520.50s;0.0218nm;
54610.50s;0.0030nm;
54700.50s;0.0271nm;
54790.50s;0.0454nm;
54880.50s;0.0537nm;
54970.50s;0.0504nm;
55060.50s;0.0360nm;
55150.50s;0.0138nm;
55240.50s;0.0114nm;
55330.50s;0.0341nm;
55420.50s;0.0494nm;
55510.50s;0.0539nm;
55600.50s;0.0467nm;
55690.50s;0.0293nm;
55780.50s;0.0055nm;
55870.50s;0.0195nm;
55960.50s;0.0402nm;
56050.50s;0.0522nm;
56140.50s;0.0528nm;
56230.50s;0.0419nm;
56320.50s;0.0218nm;
56410.50s;0.0030nm;
56500.50s;0.0271nm;
56590.50s;0.0454nm;
56680.50s;0.0537nm;
56770.50s;0.0504nm;
56860.50s;0.0360nm;
56950.50s;0.0138nm;
57040.50s;0.0114nm;
57130.50s;0.0341nm;
57220.50s;0.0494nm;
57310.50s;0.0539nm;
57400.50s;0.0467nm;
57490.50s;0.0293nm;
57580.50s;0.0055nm;
57670.50s;0.0195nm;
57760.50s;0.0402nm;
57850.50s;0.0522nm;
57940.50s;0.0528nm;
58030.50s;0.0419nm;
58120.50s;0.0218nm;
58210.50s;0.0030nm;
58300.50s;0.0271nm;
58390.50s;0.0454nm;
58480.50s;0.0537nm;
58570.50s;0.0504nm;
58660.50s;0.0360nm;
58750.50s;0.0138nm;
58840.50s;0.0114nm;
58930.50s;0.0341nm;
59020.50s;0.0494nm;
59110.50s;0.0539nm;
59200.50s;0.0467nm;
59290.50s;0.0293nm;
59380.50s;0.0055nm;
59470.50s;0.0195nm;
59560.50s;0.0402nm;
59650.50s;0.0522nm;
59740.50s;0.0528nm;
59830.50s;0.0419nm;
59920.50s;0.0218nm;
60010.50s;0.0030nm;
60100.50s;0.0271nm;
60190.50s;0.0454nm;
60280.50s;0.0537nm;
60370.50s;0.0504nm;
60460.50s;0.0360nm;
60550.50s;0.0138nm;
60640.50s;0.0114nm;
60730.50s;0.0341nm;
60820.50s;0.0494nm;
60910.50s;0.0539nm;
61000.50s;0.0467nm;
61090.50s;0.0293nm;
61180.50s;0.0055nm;
61270.50s;0.0195nm;
61360.50s;0.0402nm;
61450.50s;0.0522nm;
61540.50s;0.0528nm;
61630.50s;0.0419nm;
61720.50s;0.0218nm;
61810.50s;0.0030nm;
61900.50s;0.0271nm;
61990.50s;0.0454nm;
62080.50s;0.0537nm;
62170.50s;0.0504nm;
62260.50s;0.0360nm;
62350.50s;0.0138nm;
62440.50s;0.0114nm;
62442.14s;0.0002nm;
62532.14s;0.0344nm;
62622.14s;0.0496nm;
62712.14s;0.0539nm;
62802.14s;0.0465nm;
62892.14s;0.0289nm;
62982.14s;0.0050nm;
63072.14s;0.0199nm;
63162.14s;0.0405nm;
63252.14s;0.0523nm;
63342.14s;0.0527nm;
63432.14s;0.0416nm;
63522.14s;0.0214nm;
63612.14s;0.0034nm;
63702.14s;0.0275nm;
63792.14s;0.0456nm;
63882.14s;0.0538nm;
63972.14s;0.0502nm;
64062.14s;0.0357nm;
64152.14s;0.0134nm;
64242.14s;0.0118nm;
64332.14s;0.0344nm;
64422.14s;0.0496nm;
64512.14s;0.0539nm;
64602.14s;0.0465nm;
64692.14s;0.0289nm;
64782.14s;0.0050nm;
64872.14s;0.0199nm;
64962.14s;0.0405nm;
65052.14s;0.0523nm;
65142.14s;0.0527nm;
65232.14s;0.0416nm;
65322.14s;0.0214nm;
65412.14s;0.0034nm;
65502.14s;0.0275nm;
65592.14s;0.0456nm;
65682.14s;0.0538nm;
65772.14s;0.0502nm;
65862.14s;0.0357nm;
65952.14s;0.0134nm;
66042.14s;0.0118nm;
66132.14s;0.0344nm;
66222.14s;0.0496nm;
66312.14s;0.0539nm;
66402.14s;0.0465nm;
66492.14s;0.0289nm;
66582.14s;0.0050nm;
66672.14s;0.0199nm;
66762.14s;0.0405nm;
66852.14s;0.0523nm;
66942.14s;0.0527nm;
67032.14s;0.0416nm;
67122.14s;0.0214nm;
67212.14s;0.0034nm;
67302.14s;0.0275nm;
67392.14s;0.0456nm;
67482.14s;0.0538nm;
67572.14s;0.0502nm;
67662.14s;0.0357nm;
67752.14s;0.0134nm;
67842.14s;0.0118nm;
67932.14s;0.0344nm;
68022.14s;0.0496nm;
68112.14s;0.0539nm;
68202.14s;0.0465nm;
68292.14s;0.0289nm;
68382.14s;0.0050nm;
68472.14s;0.0199nm;
68562.14s;0.0405nm;
68652.14s;0.0523nm;
68742.14s;0.0527nm;
68832.14s;0.0416nm;
68922.14s;0.0214nm;
69012.14s;0.0034nm;
69102.14s;0.0275nm;
69192.14s;0.0456nm;
69282.14s;0.0538nm;
69372.14s;0.0502nm;
69462.14s;0.0357nm;
69552.14s;0.0134nm;
69642.14s;0.0118nm;
69732.14s;0.0344nm;
69822.14s;0.0496nm;
69912.14s;0.0539nm;
70002.14s;0.0465nm;
70092.14s;0.0289nm;
70182.14s;0.0050nm;
70272.14s;0.0199nm;
70362.14s;0.0405nm;
70452.14s;0.0523nm;
70542.14s;0.0527nm;
70632.14s;0.0416nm;
70722.14s;0.0214nm;
70812.14s;0.0034nm;
70902.14s;0.0275nm;
70992.14s;0.0456nm;
71082.14s;0.0538nm;
71172.14s;0.0502nm;
71262.14s;0.0357nm;
71352.14s;0.0134nm;
71442.14s;0.0118nm;
71532.14s;0.0344nm;
71622.14s;0.0496nm;
71712.14s;0.0539nm;
71802.14s;0.0465nm;
71892.14s;0.0289nm;
71982.14s;0.0050nm;
72072.14s;0.0199nm;
72162.14s;0.0405nm;
72252.14s;0.0523nm;
72342.14s;0.0527nm;
72432.14s;0.0416nm;
72522.14s;0.0214nm;
72612.14s;0.0034nm;
72702.14s;0.0275nm;
72792.14s;0.0456nm;
72882.14s;0.0538nm;
72972.14s;0.0502nm;
73062.14s;0.0357nm;
73152.14s;0.0134nm;
73242.14s;0.0118nm;
73332.14s;0.0344nm;
73422.14s;0.0496nm;
73512.14s;0.0539nm;
73602.14s;0.0465nm;
73692.14s;0.0289nm;
73782.14s;0.0050nm;
73872.14s;0.0199nm;
73962.14s;0.0405nm;
74052.14s;0.0523nm;
74142.14s;0.0527nm;
74232.14s;0.0416nm;
74322.14s;0.0214nm;
74412.14s;0.0034nm;
74502.14s;0.0275nm;
74592.14s;0.0456nm;
74682.14s;0.0538nm;
74772.14s;0.0502nm;
74862.14s;0.0357nm;
74952.14s;0.0134nm;
75042.14s;0.0118nm;
75132.14s;0.0344nm;
75222.14s;0.0496nm;
75312.14s;0.0539nm;
75402.14s;0.0465nm;
75492.14s;0.0289nm;
75582.14s;0.0050nm;
75672.14s;0.0199nm;
75762.14s;0.0405nm;
75852.14s;0.0523nm;
75942.14s;0.0527nm;
76032.14s;0.0416nm;
76122.14s;0.0214nm;
76212.14s;0.0034nm;
76302.14s;0.0275nm;
76392.14s;0.0456nm;
76482.14s;0.0538nm;
76572.14s;0.0502nm;
76662.14s;0.0357nm;
76752.14s;0.0134nm;
76842.14s;0.0118nm;
76932.14s;0.0344nm;
77022.14s;0.0496nm;
77112.14s;0.0539nm;
77202.14s;0.0465nm;
77292.14s;0.0289nm;
77382.14s;0.0050nm;
77472.14s;0.0199nm;
77562.14s;0.0405nm;
77652.14s;0.0523nm;
77742.14s;0.0527nm;
77832.14s;0.0416nm;
77922.14s;0.0214nm;
78012.14s;0.0034nm;
78102.14s;0.0275nm;
78192.14s;0.0456nm;
78282.14s;0.0538nm;
78372.14s;0.0502nm;
78462.14s;0.0357nm;
78552.14s;0.0134nm;
78642.14s;0.0118nm;
78732.14s;0.0344nm;
78822.14s;0.0496nm;
78912.14s;0.0539nm;
79002.14s;0.0465nm;
79092.14s;0.0289nm;
79182.14s;0.0050nm;
79272.14s;0.0199nm;
79362.14s;0.0405nm;
79452.14s;0.0523nm;
79542.14s;0.0527nm;
79632.14s;0.0416nm;
79722.14s;0.0214nm;
79812.14s;0.0034nm;
79902.14s;0.0275nm;
79992.14s;0.0456nm;
80082.14s;0.0538nm;
80172.14s;0.0502nm;
80262.14s;0.0357nm;
80352.14s;0.0134nm;
80442.14s;0.0118nm;
80532.14s;0.0344nm;
80622.14s;0.0496nm;
80712.14s;0.0539nm;
80802.14s;0.0465nm;
80892.14s;0.0289nm;
80982.14s;0.0050nm;
81072.14s;0.0199nm;
81162.14s;0.0405nm;
81252.14s;0.0523nm;
81342.14s;0.0527nm;
81432.14s;0.0416nm;
81522.14s;0.0214nm;
81612.14s;0.0034nm;
81702.14s;0.0275nm;
81792.14s;0.0456nm;
81882.14s;0.0538nm;
81972.14s;0.0502nm;
82062.14s;0.0357nm;
82152.14s;0.0134nm;
82242.14s;0.0118nm;
82332.14s;0.0344nm;
82422.14s;0.0496nm;
82512.14s;0.0539nm;
82602.14s;0.0465nm;
82692.14s;0.0289nm;
82782.14s;0.0050nm;
82872.14s;0.0199nm;
82962.14s;0.0405nm;
83052.14s;0.0523nm;
83142.14s;0.0527nm;
83232.14s;0.0416nm;
83322.14s;0.0214nm;
83412.14s;0.0034nm;
83502.14s;0.0275nm;
83592.14s;0.0456nm;
83682.14s;0.0538nm;
83772.14s;0.0502nm;
83862.14s;0.0357nm;
83952.14s;0.0134nm;
84042.14s;0.0118nm;
84132.14s;0.0344nm;
84222.14s;0.0496nm;
84312.14s;0.0539nm;
84402.14s;0.0465nm;
84492.14s;0.0289nm;
84582.14s;0.0050nm;
84672.14s;0.0199nm;
84762.14s;0.0405nm;
84852.14s;0.0523nm;
84942.14s;0.0527nm;
85032.14s;0.0416nm;
85122.14s;0.0214nm;
85212.14s;0.0034nm;
85302.14s;0.0275nm;
85392.14s;0.0456nm;
85482.14s;0.0538nm;
85572.14s;0.0502nm;
85662.14s;0.0357nm;
85752.14s;0.0134nm;
85842.14s;0.0118nm;
85932.14s;0.0344nm;
86022.14s;0.0496nm;
86112.14s;0.0539nm;
86202.14s;0.0465nm;
86292.14s;0.0289nm;
86382.14s;0.0050nm;
86472.14s;0.0199nm;
86562.14s;0.0405nm;
86652.14s;0.0523nm;
86742.14s;0.0527nm;
86832.14s;0.0416nm;
86922.14s;0.0214nm;
87012.14s;0.0034nm;
87102.14s;0.0275nm;
87192.14s;0.0456nm;
87282.14s;0.0538nm;
87372.14s;0.0502nm;
87462.14s;0.0357nm;
87552.14s;0.0134nm;
87642.14s;0.0118nm;
87732.14s;0.0344nm;
87822.14s;0.0496nm;
87912.14s;0.0539nm;
88002.14s;0.0465nm;
88092.14s;0.0289nm;
88182.14s;0.0050nm;
88272.14s;0.0199nm;
88362.14s;0.0405nm;
88452.14s;0.0523nm;
88542.14s;0.0527nm;
88632.14s;0.0416nm;
88722.14s;0.0214nm;
88812.14s;0.0034nm;
88902.14s;0.0275nm;
88992.14s;0.0456nm;
89082.14s;0.0538nm;
89172.14s;0.0502nm;
89262.14s;0.0357nm;
89352.14s;0.0134nm;
89442.14s;0.0118nm;
89532.14s;0.0344nm;
89622.14s;0.0496nm;
89712.14s;0.0539nm;
89802.14s;0.0465nm;
89892.14s;0.0289nm;
89982.14s;0.0050nm;
90072.14s;0.0199nm;
90162.14s;0.0405nm;
90252.14s;0.0523nm;
90342.14s;0.0527nm;
90432.14s;0.0416nm;
90522.14s;0.0214nm;
90612.14s;0.0034nm;
90702.14s;0.0275nm;
90792.14s;0.0456nm;
90882.14s;0.0538nm;
90972.14s;0.0502nm;
91062.14s;0.0357nm;
91152.14s;0.0134nm;
91242.14s;0.0118nm;
91332.14s;0.0344nm;
91422.14s;0.0496nm;
91512.14s;0.0539nm;
91602.14s;0.0465nm;
91692.14s;0.0289nm;
91782.14s;0.0050nm;
91872.14s;0.0199nm;
91962.14s;0.0405nm;
92052.14s;0.0523nm;
92142.14s;0.0527nm;
92232.14s;0.0416nm;
92322.14s;0.0214nm;
92412.14s;0.0034nm;
92502.14s;0.0275nm;
92592.14s;0.0456nm;
92682.14s;0.0538nm;
92772.14s;0.0502nm;
92862.14s;0.0357nm;
92952.14s;0.0134nm;
93042.14s;0.0118nm;
93132.14s;0.0344nm;
93222.14s;0.0496nm;
93312.14s;0.0539nm;
93402.14s;0.0465nm;
93492.14s;0.0289nm;
93582.14s;0.0050nm;
93672.14s;0.0199nm;
93762.14s;0.0405nm;
93852.14s;0.0523nm;
93942.14s;0.0527nm;
94032.14s;0.0416nm;
94122.14s;0.0214nm;
94212.14s;0.0034nm;
94302.14s;0.0275nm;
94392.14s;0.0456nm;
94482.14s;0.0538nm;
94572.14s;0.0502nm;
94662.14s;0.0357nm;
94752.14s;0.0134nm;
94842.14s;0.0118nm;
94932.14s;0.0344nm;
95022.14s;0.0496nm;
95112.14s;0.0539nm;
95202.14s;0.0465nm;
95292.14s;0.0289nm;
95382.14s;0.0050nm;
95472.14s;0.0199nm;
95562.14s;0.0405nm;
95652.14s;0.0523nm;
95742.14s;0.0527nm;
95832.14s;0.0416nm;
95922.14s;0.0214nm;
96012.14s;0.0034nm;
96102.14s;0.0275nm;
96192.14s;0.0456nm;
96282.14s;0.0538nm;
96372.14s;0.0502nm;
96462.14s;0.0357nm;
96552.14s;0.0134nm;
96642.14s;0.0118nm;
96732.14s;0.0344nm;
96822.14s;0.0496nm;
96912.14s;0.0539nm;
97002.14s;0.0465nm;
97092.14s;0.0289nm;
97182.14s;0.0050nm;
97272.14s;0.0199nm;
97362.14s;0.0405nm;
97452.14s;0.0523nm;
97542.14s;0.0527nm;
97632.14s;0.0416nm;
97722.14s;0.0214nm;
97812.14s;0.0034nm;
97902.14s;0.0275nm;
97992.14s;0.0456nm;
98082.14s;0.0538nm;
98172.14s;0.0502nm;
98262.14s;0.0357nm;
98352.14s;0.0134nm;
98442.14s;0.0118nm;
98532.14s;0.0344nm;
98622.14s;0.0496nm;
98712.14s;0.0539nm;
98802.14s;0.0465nm;
98892.14s;0.0289nm;
98982.14s;0.0050nm;
99072.14s;0.0199nm;
99162.14s;0.0405nm;
99252.14s;0.0523nm;
99342.14s;0.0527nm;
99432.14s;0.0416nm;
99522.14s;0.0214nm;
99545.90s;0.0040nm;
99597.33s;0.0008nm;
99648.76s;0.0136nm;
99700.18s;0.0270nm;
99751.61s;0.0385nm;
99803.04s;0.0472nm;
99854.47s;0.0525nm;
99905.90s;0.0540nm;
99957.33s;0.0516nm;
100008.76s;0.0455nm;
100060.18s;0.0361nm;
100111.61s;0.0241nm;
100163.04s;0.0104nm;
100214.47s;0.0041nm;
100265.90s;0.0183nm;
100317.33s;0.0311nm;
100368.76s;0.0417nm;
100420.18s;0.0493nm;
100471.61s;0.0534nm;
100523.04s;0.0536nm;
100574.47s;0.0499nm;
100625.90s;0.0427nm;
100677.33s;0.0323nm;
100728.76s;0.0197nm;
100780.18s;0.0056nm;
100831.61s;0.0089nm;
100883.04s;0.0227nm;
100934.47s;0.0350nm;
100985.90s;0.0446nm;
101037.33s;0.0511nm;
101088.76s;0.0539nm;
101140.18s;0.0528nm;
101191.61s;0.0479nm;
101243.04s;0.0395nm;
101294.47s;0.0283nm;
101345.90s;0.0151nm;
101397.33s;0.0008nm;
101448.76s;0.0136nm;
101500.18s;0.0270nm;
101551.61s;0.0385nm;
101603.04s;0.0472nm;
101654.47s;0.0525nm;
101705.90s;0.0540nm;
101757.33s;0.0516nm;
101808.76s;0.0455nm;
101860.18s;0.0361nm;
101911.61s;0.0241nm;
101963.04s;0.0104nm;
102014.47s;0.0041nm;
102065.90s;0.0183nm;
102117.33s;0.0311nm;
102168.76s;0.0417nm;
102220.18s;0.0493nm;
102271.61s;0.0534nm;
102323.04s;0.0536nm;
102374.47s;0.0499nm;
102425.90s;0.0427nm;
102477.33s;0.0323nm;
102528.76s;0.0197nm;
102580.18s;0.0056nm;
102631.61s;0.0089nm;
102683.04s;0.0227nm;
102734.47s;0.0350nm;
102785.90s;0.0446nm;
102837.33s;0.0511nm;
102888.76s;0.0539nm;
102940.18s;0.0528nm;
102991.61s;0.0479nm;
103043.04s;0.0395nm;
103094.47s;0.0283nm;
103145.90s;0.0151nm;
103197.33s;0.0008nm;
103248.76s;0.0136nm;
103300.18s;0.0270nm;
103351.61s;0.0385nm;
103403.04s;0.0472nm;
103454.47s;0.0525nm;
103505.90s;0.0540nm;
103557.33s;0.0516nm;
103608.76s;0.0455nm;
103660.18s;0.0361nm;
103711.61s;0.0241nm;
103763.04s;0.0104nm;
103814.47s;0.0041nm;
103865.90s;0.0183nm;
103917.33s;0.0311nm;
103968.76s;0.0417nm;
104020.18s;0.0493nm;
104071.61s;0.0534nm;
104123.04s;0.0536nm;
104174.47s;0.0499nm;
104225.90s;0.0427nm;
104277.33s;0.0323nm;
104328.76s;0.0197nm;
104380.18s;0.0056nm;
104431.61s;0.0089nm;
104442.80s;0.0026nm;
104494.23s;0.0256nm;
104545.66s;0.0373nm;
104597.08s;0.0463nm;
104648.51s;0.0520nm;
104699.94s;0.0540nm;
104751.37s;0.0521nm;
104802.80s;0.0464nm;
104854.23s;0.0373nm;
104905.66s;0.0256nm;
104957.08s;0.0120nm;
105008.51s;0.0024nm;
105059.94s;0.0167nm;
105111.37s;0.0297nm;
105162.80s;0.0407nm;
105214.23s;0.0486nm;
105265.66s;0.0531nm;
105317.08s;0.0538nm;
105368.51s;0.0506nm;
105419.94s;0.0437nm;
105471.37s;0.0337nm;
105522.80s;0.0212nm;
105574.23s;0.0073nm;
105625.66s;0.0072nm;
105677.08s;0.0212nm;
105728.51s;0.0337nm;
105779.94s;0.0437nm;
105831.37s;0.0505nm;
105882.80s;0.0538nm;
105934.23s;0.0531nm;
105985.66s;0.0487nm;
106037.08s;0.0407nm;
106088.51s;0.0298nm;
106139.94s;0.0167nm;
106191.37s;0.0024nm;
106242.80s;0.0120nm;
106294.23s;0.0256nm;
106345.66s;0.0373nm;
106397.08s;0.0463nm;
106448.51s;0.0520nm;
106499.94s;0.0540nm;
106551.37s;0.0521nm;
106602.80s;0.0464nm;
106654.23s;0.0373nm;
106705.66s;0.0256nm;
106757.08s;0.0120nm;
106808.51s;0.0024nm;
106859.94s;0.0167nm;
106911.37s;0.0297nm;
106962.80s;0.0407nm;
107014.23s;0.0486nm;
107065.66s;0.0531nm;
107117.08s;0.0538nm;
107168.51s;0.0506nm;
107219.94s;0.0437nm;
107271.37s;0.0337nm;
107322.80s;0.0212nm;
107374.23s;0.0073nm;
107425.66s;0.0072nm;
107477.08s;0.0212nm;
107528.51s;0.0337nm;
107579.94s;0.0437nm;
107631.37s;0.0505nm;
107682.80s;0.0538nm;
107734.23s;0.0531nm;
107785.66s;0.0487nm;
107837.08s;0.0407nm;
107888.51s;0.0298nm;
107939.94s;0.0167nm;
107991.37s;0.0024nm;
108042.80s;0.0120nm;
108094.23s;0.0256nm;
108145.66s;0.0373nm;
108197.08s;0.0463nm;
108248.51s;0.0520nm;
108299.94s;0.0540nm;
108351.37s;0.0521nm;
108402.80s;0.0464nm;
108454.23s;0.0373nm;
108505.66s;0.0256nm;
108557.08s;0.0120nm;
108608.51s;0.0024nm;
108659.94s;0.0167nm;
108711.37s;0.0297nm;
108762.80s;0.0407nm;
108814.23s;0.0486nm;
108865.66s;0.0531nm;
108917.08s;0.0538nm;
108968.51s;0.0506nm;
109019.94s;0.0437nm;
109071.37s;0.0337nm;
109122.80s;0.0212nm;
109174.23s;0.0073nm;
109225.66s;0.0072nm;
109277.08s;0.0212nm;
109328.51s;0.0337nm;
109379.94s;0.0437nm;
109431.37s;0.0505nm;
109482.80s;0.0538nm;
109534.23s;0.0531nm;
109585.66s;0.0487nm;
109637.08s;0.0407nm;
109688.51s;0.0298nm;
109739.94s;0.0167nm;
109791.37s;0.0024nm;
109842.80s;0.0120nm;
109894.23s;0.0256nm;
109945.66s;0.0373nm;
109997.08s;0.0463nm;
110048.51s;0.0520nm;
110099.94s;0.0540nm;
110151.37s;0.0521nm;
110202.80s;0.0464nm;
110254.23s;0.0373nm;
110305.66s;0.0256nm;
110357.08s;0.0120nm;
110408.51s;0.0024nm;
110459.94s;0.0167nm;
110511.37s;0.0297nm;
110562.80s;0.0407nm;
110614.23s;0.0486nm;
110665.66s;0.0531nm;
110717.08s;0.0538nm;
110768.51s;0.0506nm;
110819.94s;0.0437nm;
110871.37s;0.0337nm;
110922.80s;0.0212nm;
110974.23s;0.0073nm;
111025.66s;0.0072nm;
111077.08s;0.0212nm;
111128.51s;0.0337nm;
111179.94s;0.0437nm;
111231.37s;0.0505nm;
111282.80s;0.0538nm;
111334.23s;0.0531nm;
111385.66s;0.0487nm;
111437.08s;0.0407nm;
111488.51s;0.0298nm;
111539.94s;0.0167nm;
111591.37s;0.0024nm;
111642.80s;0.0120nm;
111694.23s;0.0256nm;
111745.66s;0.0373nm;
111797.08s;0.0463nm;
111848.51s;0.0520nm;
111899.94s;0.0540nm;
111951.37s;0.0521nm;
112002.80s;0.0464nm;
112054.23s;0.0373nm;
112105.66s;0.0256nm;
112157.08s;0.0120nm;
112208.51s;0.0024nm;
112259.94s;0.0167nm;
112311.37s;0.0297nm;
112362.80s;0.0407nm;
112414.23s;0.0486nm;
112465.66s;0.0531nm;
112517.08s;0.0538nm;
112568.51s;0.0506nm;
112619.94s;0.0437nm;
112671.37s;0.0337nm;
112722.80s;0.0212nm;
112774.23s;0.0073nm;
112825.66s;0.0072nm;
112877.08s;0.0212nm;
112928.51s;0.0337nm;
112979.94s;0.0437nm;
113031.37s;0.0505nm;
113082.80s;0.0538nm;
113134.23s;0.0531nm;
113185.66s;0.0487nm;
113237.08s;0.0407nm;
113288.51s;0.0298nm;
113339.94s;0.0167nm;
113391.37s;0.0024nm;
113442.80s;0.0120nm;
113494.23s;0.0256nm;
113545.66s;0.0373nm;
113597.08s;0.0463nm;
113648.51s;0.0520nm;
113699.94s;0.0540nm;
113751.37s;0.0521nm;
113802.80s;0.0464nm;
113854.23s;0.0373nm;
113905.66s;0.0256nm;
113957.08s;0.0120nm;
114008.51s;0.0024nm;
114059.94s;0.0167nm;
114111.37s;0.0297nm;
114162.80s;0.0407nm;
114214.23s;0.0486nm;
114265.66s;0.0531nm;
114317.08s;0.0538nm;
114368.51s;0.0506nm;
114419.94s;0.0437nm;
114471.37s;0.0337nm;
114522.80s;0.0212nm;
114574.23s;0.0073nm;
114625.66s;0.0072nm;
114677.08s;0.0212nm;
114728.51s;0.0337nm;
114779.94s;0.0437nm;
114831.37s;0.0505nm;
114882.80s;0.0538nm;
114934.23s;0.0531nm;
114985.66s;0.0487nm;
115037.08s;0.0407nm;
115088.51s;0.0298nm;
115139.94s;0.0167nm;
115191.37s;0.0024nm;
115242.80s;0.0120nm;
115294.23s;0.0256nm;
115345.66s;0.0373nm;
115397.08s;0.0463nm;
115448.51s;0.0520nm;
115499.94s;0.0540nm;
115551.37s;0.0521nm;
115602.80s;0.0464nm;
115654.23s;0.0373nm;
115705.66s;0.0256nm;
115757.08s;0.0120nm;
115808.51s;0.0024nm;
115859.94s;0.0167nm;
115911.37s;0.0297nm;
115962.80s;0.0407nm;
116014.23s;0.0486nm;
116065.66s;0.0531nm;
116117.08s;0.0538nm;
116168.51s;0.0506nm;
116219.94s;0.0437nm;
116271.37s;0.0337nm;
116322.80s;0.0212nm;
116374.23s;0.0073nm;
116425.66s;0.0072nm;
116477.08s;0.0212nm;
116528.51s;0.0337nm;
116579.94s;0.0437nm;
116631.37s;0.0505nm;
116682.80s;0.0538nm;
116734.23s;0.0531nm;
116785.66s;0.0487nm;
116837.08s;0.0407nm;
116888.51s;0.0298nm;
116939.94s;0.0167nm;
116991.37s;0.0024nm;
117042.80s;0.0120nm;
117094.23s;0.0256nm;
117145.66s;0.0373nm;
117197.08s;0.0463nm;
117248.51s;0.0520nm;
117299.94s;0.0540nm;
117351.37s;0.0521nm;
117402.80s;0.0464nm;
117454.23s;0.0373nm;
117505.66s;0.0256nm;
117557.08s;0.0120nm;
117608.51s;0.0024nm;
117659.94s;0.0167nm;
117711.37s;0.0297nm;
117762.80s;0.0407nm;
117814.23s;0.0486nm;
117865.66s;0.0531nm;
117917.08s;0.0538nm;
117968.51s;0.0506nm;
118019.94s;0.0437nm;
118071.37s;0.0337nm;
118122.80s;0.0212nm;
118174.23s;0.0073nm;
118225.66s;0.0072nm;
118277.08s;0.0212nm;
118328.51s;0.0337nm;
118379.94s;0.0437nm;
118431.37s;0.0505nm;
118482.80s;0.0538nm;
118534.23s;0.0531nm;
118585.66s;0.0487nm;
118637.08s;0.0407nm;
118688.51s;0.0298nm;
118739.94s;0.0167nm;
118791.37s;0.0024nm;
118842.80s;0.0120nm;
118894.23s;0.0256nm;
118945.66s;0.0373nm;
118997.08s;0.0463nm;
119048.51s;0.0520nm;
119099.94s;0.0540nm;
119151.37s;0.0521nm;
119202.80s;0.0464nm;
119254.23s;0.0373nm;
119305.66s;0.0256nm;
119357.08s;0.0120nm;
119408.51s;0.0024nm;
119459.94s;0.0167nm;
119511.37s;0.0297nm;
119562.80s;0.0407nm;
119614.23s;0.0486nm;
119665.66s;0.0531nm;
119717.08s;0.0538nm;
119768.51s;0.0506nm;
119819.94s;0.0437nm;
119871.37s;0.0337nm;
119922.80s;0.0212nm;
119974.23s;0.0073nm;
120025.66s;0.0072nm;
120077.08s;0.0212nm;
120128.51s;0.0337nm;
120179.94s;0.0437nm;
120231.37s;0.0505nm;
120282.80s;0.0538nm;
120334.23s;0.0531nm;
120385.66s;0.0487nm;
120437.08s;0.0407nm;
120488.51s;0.0298nm;
120539.94s;0.0167nm;
120591.37s;0.0024nm;
120642.80s;0.0120nm;
120694.23s;0.0256nm;
120745.66s;0.0373nm;
120797.08s;0.0463nm;
120848.51s;0.0520nm;
120899.94s;0.0540nm;
120951.37s;0.0521nm;
121002.80s;0.0464nm;
121054.23s;0.0373nm;
121105.66s;0.0256nm;
121157.08s;0.0120nm;
121208.51s;0.0024nm;
121259.94s;0.0167nm;
121311.37s;0.0297nm;
121362.80s;0.0407nm;
121414.23s;0.0486nm;
121465.66s;0.0531nm;
121517.08s;0.0538nm;
121568.51s;0.0506nm;
121619.94s;0.0437nm;
121671.37s;0.0337nm;
121722.80s;0.0212nm;
121774.23s;0.0073nm;
121825.66s;0.0072nm;
121877.08s;0.0212nm;
121928.51s;0.0337nm;
121979.94s;0.0437nm;
122031.37s;0.0505nm;
122082.80s;0.0538nm;
